phylum,class,genus,species,form,sample,image_name,image_info,image_url
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_eggs_OR.jpg,Eggs of diphyllobothriids in an iodine-stained wet mount. Image courtesy of the Oregon State Public Health Laboratory.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_eggs_OR.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_egg_OR2.jpg,Note the knob at the abopercular end. Image courtesy of the Oregon State Public Health Laboratory.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_egg_OR2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_eggs_FL.jpg,Eggs of diphyllobothriids within a proglottid. Image courtesy of the Florida State Public Health Laboratory.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_eggs_FL.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_eggs_inworm.jpg,Eggs of diphyllobothriids within a proglottid.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_eggs_inworm.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_egg_wtmt2.jpg,Diphyllobothriid egg in an unstained wet mount.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_egg_wtmt2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_egg_wtmt3.jpg,Diphyllobothriid eggs in an unstained wet mount of stool. Note the opercula are open.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_egg_wtmt3.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Diph_egg_1.jpg,Diphyllobothriid egg in an unstained wet mount.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Diph_egg_1.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Diph_egg_2.jpg,"Diphyllobothriid egg in an unstained wet mount of stool, with an open operculum.",https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Diph_egg_2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Diph_egg_3.jpg,Diphyllobothriid egg in an unstained wet mount.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Diph_egg_3.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Diph_egg_4.jpg,Diphyllobothriid egg in an unstained wet mount.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Diph_egg_4.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,small intestine,Dlatum_whole_worm_FL.jpg,Section of an adult Dibothriocephalus latus containing many proglottids. The scolex was not present in this specimen. Image courtesy of the Florida State Public Health Laboratory.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Dlatum_whole_worm_FL.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,small intestine,Dlatum_proglottid_FL.jpg,"Close-up of a few of the proglottids from the specimen in Figure A, showing the rosette-shaped uterus at the center of each proglottid.",https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Dlatum_proglottid_FL.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,small intestine,Diph_A.jpg,Another example of a portion of a diphyllobothriid tapeworm passed spontaneously by a human patient.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_A.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,small intestine,Diph_B.jpg,"Closer view of the specimen in Figure C, showing broad proglottids with craspedote (overhanging) margins.",https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_B.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,small intestine,Diph_proglottids.jpg,"Carmine-stained proglottids of D. latus, showing the rosette-shaped ovaries.",https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_proglottids.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,small intestine,Diph_GP.jpg,"Close up the section shown in Figure D, showing the genital pore (arrow) opening on the ventral surface of the proglottid.",https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_GP.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,small intestine,Diph_scolex.jpg,The elongate scolex and neck region of D. latus.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_scolex.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,intestinal tissue,Diphyllobothrium_tissue_WA_100x1.jpg,"Sections of diphyllobothriid gravid proglottids containing eggs (arrow) in intestinal tissue, stained with H&E. Image taken at 100x magnification. Image courtesy of the University of Washington Medical Center, Seattle, WA.",https://www.cdc.gov//dpdx/diphyllobothriasis/images/4/Diphyllobothrium_tissue_WA_100x1.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,intestinal tissue,Diphyllobothrium_tissue_WA_500x2.jpg,Higher magnification (500x) of eggs from the same specimen in Figures A and B.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/4/Diphyllobothrium_tissue_WA_500x2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,intestinal tissue,Diphyllobothrium_tissue_WA_100x2.jpg,Diphyllobothriid eggs from the same specimen in Figure A. Image taken at 100x magnification.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/4/Diphyllobothrium_tissue_WA_100x2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,intestinal tissue,Diphyllobothrium_tissue_WA_500x1.jpg,Higher magnification (500x) of eggs from the same specimen in Figures A and B.,https://www.cdc.gov//dpdx/diphyllobothriasis/images/4/Diphyllobothrium_tissue_WA_500x1.jpg
